Weenie ID,Weenie String,Weenie Class Name,Release,Type,Status,Patch Name,Quest Name,Comments
84,Studded Leather Leggings,leggingsstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Leggings
https://asheron.fandom.com/wiki/Studded_Leather_Leggings"
85,Chainmail Coif,mailcoif,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chainmail_Coif
https://asheron.fandom.com/wiki/Chainmail_Coif"
86,Leather Pauldrons,pauldronsleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Pauldrons
https://asheron.fandom.com/wiki/Leather_Pauldrons"
87,Platemail Pauldrons,pauldronsplatemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Platemail_Pauldrons
https://asheron.fandom.com/wiki/Platemail_Pauldrons"
88,Scalemail Pauldrons,pauldronsscalemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Scalemail_Pauldrons
https://asheron.fandom.com/wiki/Scalemail_Pauldrons"
89,Studded Leather Pauldrons,pauldronsstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Pauldrons
https://asheron.fandom.com/wiki/Studded_Leather_Pauldrons"
90,Yoroi Pauldrons,pauldronsyoroi,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Yoroi_Pauldrons
https://asheron.fandom.com/wiki/Yoroi_Pauldrons"
91,Kite Shield,shieldkite,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Kite_Shield
https://asheron.fandom.com/wiki/Kite_Shield"
92,Large Kite Shield,shieldkitelarge,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Large_Kite_Shield
https://asheron.fandom.com/wiki/Large_Kite_Shield"
93,Round Shield,shieldround,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Round_Shield
https://asheron.fandom.com/wiki/Round_Shield"
94,Large Round Shield,shieldroundlarge,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Large_Round_Shield
https://asheron.fandom.com/wiki/Large_Round_Shield"
95,Tower Shield,shieldtower,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Tower_Shield
https://asheron.fandom.com/wiki/Tower_Shield"
96,Chainmail Shirt,shirtchainmail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chainmail_Shirt
https://asheron.fandom.com/wiki/Chainmail_Shirt"
97,Leather Shirt,shirtleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Shirt
https://asheron.fandom.com/wiki/Leather_Shirt"
98,Scalemail Shirt,olthoiqueen,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Scalemail_Shirt
https://asheron.fandom.com/wiki/Scalemail_Shirt"
99,Studded Leather Shirt,shirtstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Shirt
https://asheron.fandom.com/wiki/Studded_Leather_Shirt"
101,Chainmail Sleeves,sleeveschainmail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chainmail_Sleeves
https://asheron.fandom.com/wiki/Chainmail_Sleeves"
102,Leather Sleeves,sleevesleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Sleeves
https://asheron.fandom.com/wiki/Leather_Sleeves"
103,Platemail Sleeves,sleevesplatemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Platemail_Sleeves (Broken Tooltip)
https://asheron.fandom.com/wiki/Platemail_Sleeves (Broken Tooltip)"
104,Scalemail Sleeves,sleevesscalemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Scalemail_Sleeves (Broken Tooltip)
https://asheron.fandom.com/wiki/Scalemail_Sleeves (Broken Tooltip)"
105,Studded Leather Sleeves,sleevesstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Sleeves
https://asheron.fandom.com/wiki/Studded_Leather_Sleeves"
106,Yoroi Sleeves,sleevesyoroi,Retail,Generator,Finished,Release,,"http://acpedia.org/wiki/Yoroi_Sleeves
https://asheron.fandom.com/wiki/Yoroi_Sleeves"
107,Sollerets,sollerets,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Sollerets
https://asheron.fandom.com/wiki/Sollerets"
108,Chainmail Tassets,tassetschainmail,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Chainmail_Tassets
https://asheron.fandom.com/wiki/Chainmail_Tassets"
109,Leather Tassets,tassetsleather,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Leather_Tassets
https://asheron.fandom.com/wiki/Leather_Tassets"
110,Platemail Tassets,tassetsplatemail,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Platemail_Tassets
https://asheron.fandom.com/wiki/Platemail_Tassets"
111,Scalemail Tassets,tassetsscalemail,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Scalemail_Tassets
https://asheron.fandom.com/wiki/Scalemail_Tassets"
112,Studded Leather Tassets,tassetsstuddedleather,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Studded_Leather_Tassets
https://asheron.fandom.com/wiki/Studded_Leather_Tassets"
113,Yoroi Tassets,tassetsyoroi,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Yoroi_Tassets
https://asheron.fandom.com/wiki/Yoroi_Tassets"
114,Platemail Vambraces,vambracesplatemail,Retail,Item,Finished,Atonement,,"http://acpedia.org/wiki/Platemail_Vambraces
https://asheron.fandom.com/wiki/Platemail_Vambraces"
115,Leather Boots,bootsleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Boots
https://asheron.fandom.com/wiki/Leather_Boots"
116,Studded Leather Boots,bootsreinforcedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Boots
https://asheron.fandom.com/wiki/Studded_Leather_Boots"
117,Breeches,breeches,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Breeches
https://asheron.fandom.com/wiki/Breeches"
118,Cap,capcloth,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Cloth_Cap
https://asheron.fandom.com/wiki/Cloth_Cap"
119,Cowl,cowlcloth,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Cowl
https://asheron.fandom.com/wiki/Cowl"
120,Quilted Drawers,drawersquilted,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Quilted_Drawers
https://asheron.fandom.com/wiki/Quilted_Drawers"
121,Gloves,glovescloth,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Cloth_Gloves
https://asheron.fandom.com/wiki/Cloth_Gloves"
122,Soft Leather Gloves,glovessoftleather,Retail,,,,,
124,Jerkin,jerkin,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Jerkin
https://asheron.fandom.com/wiki/Jerkin"
125,Kimono Top,kimonotop,Retail,,,,,
126,Leggings,leggingswoolen,Retail,,,,,
127,Pants,pants,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Pants
https://asheron.fandom.com/wiki/Pants"
128,Qafiya,qafiya,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Qafiya
https://asheron.fandom.com/wiki/Qafiya"
129,Sandals,sandals,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Sandals
https://asheron.fandom.com/wiki/Sandals"
130,Shirt,shirt,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Shirt
https://asheron.fandom.com/wiki/Shirt"
132,Shoes,shoes,Retail,,,,,
132,Shoes,shoes,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Shoes
https://asheron.fandom.com/wiki/Shoes"
133,Slippers,slippers,Retail,,,,,
134,Tunic,tunic,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Tunic
https://asheron.fandom.com/wiki/Tunic"
135,Turban,turban,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Turban
https://asheron.fandom.com/wiki/Turban"
136,Pack,backpack,Retail,Item,Finished,Dark Thaw,,"http://acpedia.org/wiki/Pack
https://asheron.fandom.com/wiki/Pack"
137,Basket,basket,Retail,Item,Finished,"Mirror, Mirror",,"http://acpedia.org/wiki/Basket
https://asheron.fandom.com/wiki/Basket"
138,Belt Pouch,beltpouch,Retail,Item,Finished,"Mirror, Mirror",,"http://acpedia.org/wiki/Belt_Pouch
https://asheron.fandom.com/wiki/Belt_Pouch"
139,Small Belt Pouch,beltpouchsmall,Retail,Item,Finished,"Mirror, Mirror",,"http://acpedia.org/wiki/Small_Belt_Pouch
https://asheron.fandom.com/wiki/Small_Belt_Pouch"
140,Bottle,bottle,Retail,Item,Finished,What Once was Lost,,"http://acpedia.org/wiki/Bottle
https://asheron.fandom.com/wiki/Bottle"
141,Bowl,bowl,Retail,Item,In Progress,,,
142,Chalice,chalice,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chalice
https://asheron.fandom.com/wiki/Chalice"
143,Chest,chest,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chest
https://asheron.fandom.com/wiki/Chest"
144,Cistern,cistern,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Cistern
https://asheron.fandom.com/wiki/Cistern"
145,Coffer,coffer,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Coffer
https://asheron.fandom.com/wiki/Coffer"
146,Coffin,coffin,Retail,Item,Finished,Treaties in Stone,,"http://acpedia.org/wiki/Coffin
https://asheron.fandom.com/wiki/Coffin"
147,Crate,crate,Retail,Item,In Progress,,,
148,Cup,cup,Retail,Item,In Progress,,,
149,Ewer,ewer,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Ewer
https://asheron.fandom.com/wiki/Ewer "
150,Flagon,flagon,Retail,Item,In Progress,,,
151,Empty Flask,flask,Retail,Item,Finished,Darkness Ascendant,,"http://acpedia.org/wiki/Empty_Flask
https://asheron.fandom.com/wiki/Empty_Flask"
152,Font,font,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Font
https://asheron.fandom.com/wiki/Font"
153,Fountain,fountain,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Fountain
https://asheron.fandom.com/wiki/Fountain"
154,Goblet,goblet,Retail,Item,In Progress,,,
155,Jar,jar,Retail,Item,In Progress,,,
156,Jug,jug,Retail,Item,In Progress,,,
157,Keg,keg,Retail,Item,Finished,A Gathering of Colors,,"http://acpedia.org/wiki/Keg
https://asheron.fandom.com/wiki/Keg"
158,Large Urn,largeurn,Retail,Item,In Progress,,,
159,Large Vase,largevase,Retail,Item,In Progress,,,
160,Mead Cask,meadcask,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Mead_Cask
https://asheron.fandom.com/wiki/Mead_Cask"
161,Mug,mug,Retail,Item,In Progress,,,
162,Oil Cask,oilcask,Retail,Item,In Progress,,,
163,Ornamental Bowl,ornamentalbowl,Retail,Item,In Progress,,,
164,Phial,phial,Retail,Item,In Progress,,,
165,Pool,pool,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Pool
https://asheron.fandom.com/wiki/Pool"
166,Sack,sack,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Sack
https://asheron.fandom.com/wiki/Sack"
167,Sarcophagus,sarcophagus,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Sarcophagus
https://asheron.fandom.com/wiki/Sarcophagus"
168,Tankard,tankard,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Tankard
https://asheron.fandom.com/wiki/Tankard"
169,Urn,urn,Retail,Item,Finished,On Bended Knee,,"http://acpedia.org/wiki/Urn
https://asheron.fandom.com/wiki/Urn"
170,Vase,vase,Retail,Item,In Progress,,,
171,Vat,vat,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Vat
https://asheron.fandom.com/wiki/Vat"
172,Washbasin,washbasin,Retail,Item,In Progress,,,
173,Barrel,waterbarrel,Retail,Item,Finished,Waking From the Abyss,,"http://acpedia.org/wiki/Barrel
https://asheron.fandom.com/wiki/Barrel
"
174,Well,well,Retail,Item,Finished,Darkness Ascendant,,"http://acpedia.org/wiki/Well
https://asheron.fandom.com/wiki/Well"
175,Wineskin,wineskin,Retail,Item,In Progress,,,
176,Wine Cask,winecask,Retail,Item,In Progress,,,
177,Spiny Armoredillo,armoredillospiny,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Spiny_Armoredillo
https://asheron.fandom.com/wiki/Spiny_Armoredillo"
178,Brown Armoredillo,armoredillobrown,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Brown_Armoredillo
https://asheron.fandom.com/wiki/Brown_Armoredillo"
179,Spikey Armoredillo,armoredillospikey,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Spikey_Armoredillo
https://asheron.fandom.com/wiki/Spikey_Armoredillo"
180,Sandy Armoredillo,armoredillosandy,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Sandy_Armoredillo
https://asheron.fandom.com/wiki/Sandy_Armoredillo"
181,Auroch Cow,aurochcow,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Auroch_Cow
https://asheron.fandom.com/wiki/Auroch_Cow"
182,Auroch Yearling,aurochyearling,Retail,,,,,
182,Auroch Yearling,aurochyearling,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Auroch_Yearling
https://asheron.fandom.com/wiki/Auroch_Yearling"
183,Banderling Raver,banderlingraver,Retail,,,,,
184,Banderling Captain,banderlingcaptain,Retail,,,,,
185,Bandit,bandit,Retail,Creature,Finished,Dark Majesty,,"http://acpedia.org/wiki/Bandit
https://asheron.fandom.com/wiki/Bandit"
187,Bandit Lord,banditlord,Retail,Creature,Finished,Heart of Woe,,"http://acpedia.org/wiki/Bandit_Lord
https://asheron.fandom.com/wiki/Bandit_Lord"
188,Bandit Mage,banditmage,Retail,Creature,Finished,Heart of Woe,,"http://acpedia.org/wiki/Bandit_Mage
https://asheron.fandom.com/wiki/Bandit_Mage"
189,Cultist High Priest,culthighpriest,Retail,Creature,Finished,Waking From the Abyss,,"http://acpedia.org/wiki/Cultist_High_Priest_(Level_100)
https://asheron.fandom.com/wiki/Cultist_High_Priest_(Level_100)"
190,Cultist Cohort,cultmember,Retail,,,,,
191,Cultist Priest,cultpriest,Retail,Creature,Finished,Waking From the Abyss,,"http://acpedia.org/wiki/Cultist_Priest
https://asheron.fandom.com/wiki/Cultist_Priest"
191,Cultist Priest,cultpriest,Retail,,,,,
192,Drudge Prowler,drudgeprowler,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Drudge_Prowler
https://asheron.fandom.com/wiki/Drudge_Prowler"
193,Drudge Slinker,drudgeslinker,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Drudge_Slinker
https://asheron.fandom.com/wiki/Drudge_Slinker"
194,Copper Golem,golemcopper,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Copper_Golem
https://asheron.fandom.com/wiki/Copper_Golem"
195,Granite Golem,golemgranite,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Granite_Golem
https://asheron.fandom.com/wiki/Granite_Golem"
196,Ice Golem,golemice,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Ice_Golem
https://asheron.fandom.com/wiki/Ice_Golem"
197,Iron Golem,golemiron,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Iron_Golem
https://asheron.fandom.com/wiki/Iron_Golem"
198,Limestone Golem,golemlimestone,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Limestone_Golem
https://asheron.fandom.com/wiki/Limestone_Golem"
199,Magma Golem,golemmagma,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Magma_Golem
https://asheron.fandom.com/wiki/Magma_Golem"
200,Mud Golem,golemmud,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Mud_Golem
https://asheron.fandom.com/wiki/Mud_Golem"
201,Obsidian Golem,golemobsidian,Retail,,,,,
202,Sandstone Golem,golemsandstone,Retail,,,,,
203,Gromnie Hatchling,gromniehatchling,Retail,,,,,
204,Lich,zombielich,Retail,,,,,
205,Obeloth Lugian,lugianobeloth,Retail,,,,,
206,Lithos Lugian,lugianlithos,Retail,,,,,
208,Mite Matron,mitematron,Retail,,,,,
209,Mite Squib,mitesquib,Retail,,,,,
210,Mosswart Chief,mosswartchief,Retail,,,,,
211,Mudlurk Mosswart,mosswartmudlurk,Retail,,,,,
212,Olthoi Noble,olthoinoble,Retail,,,,,
213,Olthoi Nymph,olthoinymph,Retail,,,,,
214,Olthoi Soldier,olthoisoldier,Retail,,,,,
215,Blue Phyntos Wasp,phyntoswaspblue,Retail,,,,,
216,Green Phyntos Wasp,phyntoswaspgreen,Retail,,,,,
217,Gold Phyntos Wasp,phyntoswaspgold,Retail,,,,,
218,Black Rat,ratblack,Retail,,,,,
219,Grey Rat,ratgrey,Retail,,,,,
220,Brown Rat,ratbrown,Retail,,,,,
221,Adult Reedshark,reedshark,Retail,,,,,
222,Veteran Reedshark,reedsharkveteran,Retail,,,,,
223,Reedshark Pup,reedsharkpup,Retail,,,,,
224,Rogue,rogue,Retail,,,,,
225,Rogue Mage,roguemage,Retail,,,,,
